749.307	1295
749.535	1311
749.764	1326
749.992	1329
750.22	1312
750.448	1323
750.676	1310
750.904	1325
751.132	1325
751.36	1317
751.588	1304
751.816	1317
752.044	1338
752.272	1314
752.5	1326
752.728	1323
752.956	1320
753.184	1317
753.411	1332
753.639	1306
753.867	1347
754.095	1317
754.322	1346
754.55	1327
754.778	1320
755.006	1341
755.233	1336
755.461	1329
755.688	1330
755.916	1344
756.144	1337
756.371	1355
756.599	1368
756.826	1329
757.054	1345
757.281	1323
757.508	1337
757.736	1322
757.963	1327
758.191	1325
758.418	1343
758.645	1337
758.872	1327
759.1	1338
759.327	1337
759.554	1365
759.781	1328
760.009	1336
760.236	1341
760.463	1337
760.69	1329
760.917	1335
761.144	1343
761.371	1312
761.598	1353
761.825	1332
762.052	1325
762.279	1332
762.506	1334
762.733	1328
762.96	1347
763.187	1347
763.414	1348
763.64	1352
763.867	1326
764.094	1321
764.321	1330
764.548	1330
764.774	1326
765.001	1341
765.228	1328
765.454	1335
765.681	1330
765.908	1327
766.134	1344
766.361	1350
766.587	1332
766.814	1328
767.04	1340
767.267	1325
767.493	1326
767.72	1335
767.946	1350
768.172	1325
768.399	1333
768.625	1343
768.851	1337
769.078	1301
769.304	1330
769.53	1323
769.756	1330
769.983	1347
770.209	1345
770.435	1333
770.661	1329
770.887	1320
771.113	1329
771.339	1321
771.565	1372
771.792	1315
772.018	1337
772.244	1350
772.469	1331
772.695	1323
772.921	1333
773.147	1354
773.373	1315
773.599	1312
773.825	1327
774.051	1335
774.276	1341
774.502	1337
774.728	1344
774.954	1337
775.179	1331
775.405	1336
775.631	1320
775.856	1338
776.082	1343
776.308	1339
776.533	1357
776.759	1345
776.984	1328
777.21	1321
777.435	1338
777.661	1335
777.886	1344
778.111	1325
778.337	1338
778.562	1317
778.788	1320
779.013	1322
779.238	1355
779.463	1328
779.689	1317
779.914	1339
780.139	1347
780.364	1325
780.59	1351
780.815	1311
781.04	1333
781.265	1337
781.49	1339
781.715	1335
781.94	1337
782.165	1318
782.39	1346
782.615	1328
782.84	1322
783.065	1328
783.29	1345
783.515	1321
783.74	1323
783.964	1331
784.189	1325
784.414	1333
784.639	1350
784.864	1332
785.088	1346
785.313	1370
785.538	1322
785.762	1332
785.987	1320
786.212	1337
786.436	1336
786.661	1346
786.885	1317
787.11	1340
787.334	1341
787.559	1334
787.783	1325
788.008	1323
788.232	1338
788.457	1353
788.681	1329
788.905	1350
789.13	1323
789.354	1343
789.578	1325
789.803	1319
790.027	1358
790.251	1327
790.475	1322
790.699	1332
790.924	1318
791.148	1330
791.372	1334
791.596	1334
791.82	1338
792.044	1352
792.268	1344
792.492	1366
792.716	1342
792.94	1334
793.164	1329
793.388	1349
793.612	1324
793.836	1335
794.059	1337
794.283	1329
794.507	1324
